executor,connector,stream,data_size_bytes,task_count,task_sleep,use_proxies,workers,completed_tasks,start_submit_tasks_timestamp,end_tasks_done_timestamp
ParslExecutor,RedisConnector,redis,10000,1024,1.0,True,128,1024,1710275337.7873538,1710275352.9571285
ParslExecutor,RedisConnector,redis,10000,1024,1.0,False,128,1024,1710275352.9605649,1710275362.2193608
ParslExecutor,RedisConnector,redis,100000,1024,1.0,True,128,1024,1710275362.2209804,1710275371.4967961
ParslExecutor,RedisConnector,redis,100000,1024,1.0,False,128,1024,1710275371.498416,1710275380.771156
ParslExecutor,RedisConnector,redis,1000000,1024,1.0,True,128,1024,1710275380.7725945,1710275390.072842
ParslExecutor,RedisConnector,redis,1000000,1024,1.0,False,128,1024,1710275390.0745082,1710275409.5509546
ParslExecutor,RedisConnector,redis,10000000,1024,1.0,True,128,1024,1710275409.5525112,1710275423.5116262
ParslExecutor,RedisConnector,redis,10000000,1024,1.0,False,128,1024,1710275423.5133343,1710275599.4945362
ParslExecutor,RedisConnector,redis,100000000,1024,1.0,True,128,1024,1710275599.4963162,1710275701.399047
ParslExecutor,RedisConnector,redis,100000000,1024,1.0,False,128,1024,1710275701.400921,1710277574.2902792
