executor,connector,data_management,stage_task_counts,stage_bytes_sizes,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,default-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710184550.656526,1710184643.1745987,92.51807260513306
DaskExecutor,RedisConnector,default-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710184643.250152,1710184735.7709403,92.52078819274902
DaskExecutor,RedisConnector,default-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710184735.8447652,1710184827.499233,91.65446782112122
