executor,connector,stream,data_size_bytes,task_count,task_sleep,use_proxies,workers,completed_tasks,start_submit_tasks_timestamp,end_tasks_done_timestamp
ParslExecutor,RedisConnector,redis,10000,256,1.0,True,16,256,1710091926.7520607,1710091948.355135
ParslExecutor,RedisConnector,redis,10000,256,1.0,False,16,256,1710091948.3577144,1710091966.773969
ParslExecutor,RedisConnector,redis,100000,256,1.0,True,16,256,1710091966.7753768,1710091985.2108283
ParslExecutor,RedisConnector,redis,100000,256,1.0,False,16,256,1710091985.2119622,1710092003.633629
ParslExecutor,RedisConnector,redis,1000000,256,1.0,True,16,256,1710092003.6350014,1710092022.0614016
ParslExecutor,RedisConnector,redis,1000000,256,1.0,False,16,256,1710092022.0626318,1710092040.7120948
ParslExecutor,RedisConnector,redis,10000000,256,1.0,True,16,256,1710092040.713357,1710092059.4187915
ParslExecutor,RedisConnector,redis,10000000,256,1.0,False,16,256,1710092059.4199631,1710092103.7856593
ParslExecutor,RedisConnector,redis,100000000,256,1.0,True,16,256,1710092103.7874203,1710092128.5830867
ParslExecutor,RedisConnector,redis,100000000,256,1.0,False,16,256,1710092128.5845456,1710092586.361451
