executor,connector,data_management,stage_task_counts,stage_bytes_sizes,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,manual-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710029492.5100243,1710029585.246751,92.73672676086426
DaskExecutor,RedisConnector,manual-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710029585.2694883,1710029677.9725528,92.70306444168091
DaskExecutor,RedisConnector,manual-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710029677.9956303,1710029769.9540195,91.95838928222656
