executor,connector,data_management,stage_task_counts,stage_bytes_sizes,stage_repeat,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,owned-proxy,32-1,100000000-10000000-1000000,8,5.0,1711663375.890111,1711663542.3956406,166.5055296421051
DaskExecutor,RedisConnector,owned-proxy,32-1,100000000-10000000-1000000,8,5.0,1711663542.4206617,1711663708.3176773,165.89701557159424
DaskExecutor,RedisConnector,owned-proxy,32-1,100000000-10000000-1000000,8,5.0,1711663708.3489628,1711663874.5099857,166.16102290153503
