executor,connector,data_management,stage_task_counts,stage_bytes_sizes,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,owned-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710184271.214099,1710184363.7730753,92.55897641181946
DaskExecutor,RedisConnector,owned-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710184363.7949514,1710184456.2498178,92.45486640930176
DaskExecutor,RedisConnector,owned-proxy,1-32-1-32-1-32-1-32-1-32-1-32-1-32-1-32-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710184456.2715046,1710184548.0078921,91.7363874912262
