executor,connector,data_management,stage_task_counts,stage_bytes_sizes,stage_repeat,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,owned-proxy,32-1,100000000-10000000-1000000,8,5.0,1711594177.5642672,1711594344.3920226,166.8277554512024
DaskExecutor,RedisConnector,owned-proxy,32-1,100000000-10000000-1000000,8,5.0,1711594344.4189174,1711594512.468303,168.04938554763794
DaskExecutor,RedisConnector,owned-proxy,32-1,100000000-10000000-1000000,8,5.0,1711594512.5018048,1711594680.9835212,168.48171639442444
