executor,connector,stream,data_size_bytes,task_count,task_sleep,use_proxies,workers,completed_tasks,start_submit_tasks_timestamp,end_tasks_done_timestamp
ParslExecutor,RedisConnector,redis,10000,1024,1.0,True,256,1024,1710279925.5395837,1710279937.5706613
ParslExecutor,RedisConnector,redis,10000,1024,1.0,False,256,1024,1710279937.5738883,1710279942.6994932
ParslExecutor,RedisConnector,redis,100000,1024,1.0,True,256,1024,1710279942.700804,1710279947.8499527
ParslExecutor,RedisConnector,redis,100000,1024,1.0,False,256,1024,1710279947.851261,1710279952.9946454
ParslExecutor,RedisConnector,redis,1000000,1024,1.0,True,256,1024,1710279952.9961464,1710279958.1499536
ParslExecutor,RedisConnector,redis,1000000,1024,1.0,False,256,1024,1710279958.151562,1710279977.6324568
ParslExecutor,RedisConnector,redis,10000000,1024,1.0,True,256,1024,1710279977.6340153,1710279987.6505623
ParslExecutor,RedisConnector,redis,10000000,1024,1.0,False,256,1024,1710279987.6522806,1710280161.2343194
ParslExecutor,RedisConnector,redis,100000000,1024,1.0,True,256,1024,1710280161.2357948,1710280245.230641
ParslExecutor,RedisConnector,redis,100000000,1024,1.0,False,256,1024,1710280245.2323933,1710282343.4270184
