executor,connector,stream,data_size_bytes,task_count,task_sleep,use_proxies,workers,completed_tasks,start_submit_tasks_timestamp,end_tasks_done_timestamp
ParslExecutor,RedisConnector,redis,10000,128,1.0,True,8,128,1710092607.091344,1710092628.7578657
ParslExecutor,RedisConnector,redis,10000,128,1.0,False,8,128,1710092628.7596095,1710092648.3533769
ParslExecutor,RedisConnector,redis,100000,128,1.0,True,8,128,1710092648.3547578,1710092667.9389274
ParslExecutor,RedisConnector,redis,100000,128,1.0,False,8,128,1710092667.940132,1710092687.5376716
ParslExecutor,RedisConnector,redis,1000000,128,1.0,True,8,128,1710092687.5393903,1710092707.1547709
ParslExecutor,RedisConnector,redis,1000000,128,1.0,False,8,128,1710092707.1559165,1710092726.9807427
ParslExecutor,RedisConnector,redis,10000000,128,1.0,True,8,128,1710092726.9822545,1710092746.8354933
ParslExecutor,RedisConnector,redis,10000000,128,1.0,False,8,128,1710092746.8370233,1710092770.0571914
ParslExecutor,RedisConnector,redis,100000000,128,1.0,True,8,128,1710092770.05905,1710092792.275763
ParslExecutor,RedisConnector,redis,100000000,128,1.0,False,8,128,1710092792.276937,1710093023.8373754
