name,thread_id,task,start,end,duration,colour,norm_start
globus-compute,178212,individuals,1712091754.018536,1712091823.8761575,69.85762230800174,,3.8369321823120117
globus-compute,178218,individuals,1712091754.1126928,1712091819.860257,65.74756598300155,,3.931088924407959
globus-compute,178219,individuals,1712091754.12001,1712091818.1717618,64.05175285199948,,3.938405990600586
globus-compute,178216,individuals,1712091754.1099865,1712091822.2275453,68.11756029800017,,3.928382635116577
globus-compute,178217,individuals,1712091754.065342,1712091819.5601141,65.49477435800145,,3.8837380409240723
globus-compute,178207,individuals,1712091753.938554,1712091819.4990578,65.56050545299877,,3.7569501399993896
globus-compute,178205,individuals,1712091754.1287374,1712091820.9544425,66.82570620299884,,3.9471335411071777
globus-compute,178225,individuals,1712091754.2769241,1712091822.4147704,68.13784739599942,,4.095320224761963
globus-compute,178228,individuals,1712091754.0984082,1712091818.2082102,64.10980440800267,,3.916804313659668
globus-compute,178202,individuals,1712091754.1164188,1712091823.5739255,69.45750828600285,,3.934814929962158
globus-compute,178209,individuals,1712091754.2182922,1712091819.3146038,65.09631288500168,,4.036688327789307
globus-compute,178231,individuals,1712091754.2153165,1712091822.8772945,68.66197994200047,,4.03371262550354
globus-compute,178203,individuals,1712091753.9447553,1712091821.1063688,67.16161518100125,,3.7631514072418213
globus-compute,178235,individuals,1712091754.0612216,1712091823.957103,69.89588349100086,,3.879617691040039
globus-compute,178234,individuals,1712091754.1626322,1712091831.3582442,77.19561275300293,,3.9810283184051514
globus-compute,178230,individuals,1712091754.1641996,1712091827.1865387,73.02234003099875,,3.982595682144165
globus-compute,178236,individuals,1712091754.235971,1712091822.1517854,67.91581629400025,,4.0543670654296875
globus-compute,178232,individuals,1712091754.063651,1712091823.2287624,69.1651129919992,,3.882047176361084
globus-compute,178257,individuals,1712091753.9133482,1712091825.0419667,71.12861952300227,,3.7317442893981934
globus-compute,178210,individuals,1712091754.071578,1712091823.7503574,69.67878071099767,,3.8899741172790527
globus-compute,178215,individuals,1712091754.1670501,1712091824.4282897,70.26124040200011,,3.9854462146759033
