name,thread_id,task,start,end,duration,colour,norm_start
globus-compute,164283,individuals,1712086993.6033058,1712087125.3642058,131.7609015399994,,3.651096820831299
globus-compute,164292,individuals,1712086993.6516802,1712087121.9589639,128.30728611199993,,3.6994712352752686
globus-compute,164282,individuals,1712086993.6092412,1712087119.8189633,126.20972437700038,,3.6570322513580322
globus-compute,164286,individuals,1712086993.6708672,1712087127.9171042,134.24623945799976,,3.718658208847046
globus-compute,164287,individuals,1712086993.5939713,1712087121.7611525,128.16718315199978,,3.6417622566223145
globus-compute,164298,individuals,1712086993.5716872,1712087123.1320608,129.56037529999958,,3.619478225708008
globus-compute,164295,individuals,1712086993.604535,1712087125.086568,131.48203506900063,,3.6523261070251465
globus-compute,164297,individuals,1712086993.535906,1712087141.1095517,147.57364788700033,,3.5836970806121826
globus-compute,164296,individuals,1712086993.7157116,1712087125.78319,132.0674802279991,,3.763502597808838
globus-compute,164303,individuals,1712086993.715994,1712087130.4557126,136.73972117099947,,3.763784885406494
globus-compute,164304,individuals,1712086993.7344537,1712087128.0439968,134.30954552500043,,3.7822446823120117
globus-compute,164310,individuals,1712086993.7150805,1712087131.0123286,137.29724994800017,,3.762871503829956
globus-compute,164319,individuals,1712086993.7140057,1712087135.4248717,141.71086818300137,,3.761796712875366
globus-compute,164316,individuals,1712086993.729046,1712087135.1893039,141.46025975699922,,3.776837110519409
globus-compute,164311,individuals,1712086993.6446881,1712087134.0953233,140.45063662499888,,3.692479133605957
globus-compute,164314,individuals,1712086993.781116,1712087130.2847564,136.5036422659996,,3.828907012939453
globus-compute,164315,individuals,1712086993.7526205,1712087121.5976582,127.8450396749995,,3.8004114627838135
globus-compute,164318,individuals,1712086993.741082,1712087125.4751146,131.73403480200068,,3.7888729572296143
globus-compute,164300,individuals,1712086993.7544177,1712087138.1627553,144.40833940599987,,3.802208662033081
globus-compute,164326,individuals,1712086993.9574647,1712087131.4280531,137.47059015300147,,4.005255699157715
globus-compute,164285,individuals,1712086993.8028483,1712087132.0555015,138.25265509400015,,3.8506393432617188
globus-compute,164290,individuals,1712086993.821004,1712087135.0964513,141.2754501090003,,3.8687949180603027
globus-compute,164284,individuals,1712086993.7552185,1712087131.8689456,138.11372995000056,,3.803009510040283
globus-compute,164330,individuals,1712086993.734721,1712087143.4583228,149.72360366499925,,3.7825119495391846
globus-compute,164291,individuals,1712086993.764029,1712087124.9227881,131.1587614250002,,3.8118200302124023
globus-compute,164307,individuals,1712086993.726497,1712087127.1687007,133.44220585699986,,3.7742879390716553
globus-compute,164288,individuals,1712086993.9089906,1712087133.106398,139.19740869700036,,3.9567816257476807
globus-compute,164294,individuals,1712086994.0247564,1712087138.162021,144.13726650100034,,4.072547435760498
globus-compute,164293,individuals,1712086993.998737,1712087129.2857409,135.2870051029986,,4.046528100967407
globus-compute,164329,individuals,1712086994.0440269,1712087137.137809,143.09378437399937,,4.091817855834961
globus-compute,164281,individuals,1712086994.0241408,1712087134.7475708,140.72343149100016,,4.071931838989258
globus-compute,164289,individuals,1712086994.1875634,1712087130.5724845,136.3849223640009,,4.235354423522949
globus-compute,164332,individuals,1712086994.1154726,1712087139.249687,145.13421613399987,,4.163263559341431
globus-compute,164324,individuals,1712086994.1269886,1712087126.078694,131.95170791300006,,4.174779653549194
globus-compute,164301,individuals,1712086994.1175535,1712087135.4512966,141.33374425499824,,4.165344476699829
globus-compute,164302,individuals,1712086994.147258,1712087129.8995364,135.75227984000048,,4.195049047470093
globus-compute,164322,individuals,1712086994.0180895,1712087136.1271088,142.10902175299998,,4.065880537033081
globus-compute,164343,individuals,1712086994.1157672,1712087141.0646179,146.94885193799928,,4.1635582447052
globus-compute,164337,individuals,1712086994.1300862,1712087124.946445,130.81636234100006,,4.177877187728882
globus-compute,164305,individuals,1712086994.1095836,1712087127.4188108,133.3092291060002,,4.157374620437622
globus-compute,164312,individuals,1712086994.154116,1712087131.9646597,137.81054525800027,,4.20190691947937
globus-compute,164308,individuals,1712086994.2096407,1712087125.4200003,131.21036063199972,,4.257431745529175
globus-compute,164341,individuals,1712086994.2092943,1712087126.0093532,131.8000625120003,,4.25708532333374
globus-compute,164344,individuals,1712086994.2686033,1712087128.3203278,134.05172661000142,,4.316394329071045
globus-compute,164313,individuals,1712086994.325848,1712087138.0502725,143.72442603299896,,4.373639106750488
globus-compute,164321,individuals,1712086994.255292,1712087134.6759324,140.42064210300123,,4.3030829429626465
globus-compute,164299,individuals,1712086994.2658498,1712087134.7984936,140.53264523500002,,4.313640832901001
globus-compute,164327,individuals,1712086994.2621686,1712087129.8120658,135.54989900599867,,4.309959650039673
globus-compute,164334,individuals,1712086994.3253696,1712087128.1560795,133.83071149200077,,4.3731606006622314
globus-compute,164309,individuals,1712086994.2923863,1712087127.5629747,133.27058971500082,,4.340177297592163
globus-compute,164192,merge,1712086989.952209,1712087144.4135377,154.4613287448883,,0.0
globus-compute,164282,individuals,1712087145.4325767,1712087268.6280847,123.19550977899962,,155.48036766052246
globus-compute,164315,individuals,1712087145.4319036,1712087273.130128,127.69822555899918,,155.47969460487366
globus-compute,164287,individuals,1712087145.8985145,1712087269.2253473,123.32683431900114,,155.94630551338196
globus-compute,164292,individuals,1712087145.9084969,1712087266.4333246,120.52482877299917,,155.95628786087036
globus-compute,164298,individuals,1712087145.9191086,1712087275.1276886,129.2085815419996,,155.9668996334076
globus-compute,164291,individuals,1712087145.9202733,1712087266.890492,120.97022117799861,,155.9680643081665
globus-compute,164295,individuals,1712087145.9297843,1712087277.1293168,131.19953416299904,,155.97757530212402
globus-compute,164337,individuals,1712087145.9394846,1712087289.9811015,144.04161812100028,,155.98727560043335
globus-compute,164283,individuals,1712087145.9418366,1712087289.0613887,143.1195548930009,,155.9896275997162
globus-compute,164318,individuals,1712087145.950588,1712087295.3606877,149.41010097100116,,155.9983789920807
globus-compute,164308,individuals,1712087146.0619314,1712087289.7982972,143.73636671200074,,156.10972237586975
globus-compute,164296,individuals,1712087146.062059,1712087285.7882795,139.72622203899846,,156.10984992980957
globus-compute,164341,individuals,1712087146.0723147,1712087281.8210082,135.74869498000044,,156.1201057434082
globus-compute,164324,individuals,1712087146.0826063,1712087282.5942655,136.5116602880007,,156.1303973197937
globus-compute,164307,individuals,1712087146.124057,1712087279.0436704,132.91961426200032,,156.17184805870056
globus-compute,164305,individuals,1712087146.1236281,1712087283.8022208,137.6785938060002,,156.17141914367676
globus-compute,164309,individuals,1712087146.1338775,1712087277.7790995,131.64522292400034,,156.18166851997375
globus-compute,164286,individuals,1712087146.1450312,1712087285.6570232,139.51199485799953,,156.19282221794128
globus-compute,164304,individuals,1712087146.2480376,1712087282.6856072,136.43757210600052,,156.29582858085632
