name,thread_id,task,start,end,duration,colour,norm_start
gc-trial,411408,processing_chrom_parts,1711307450.5385664,1711307452.5292065,1.9906436849851161,b,0.0
gc-trial,411418,processing_2,1711307454.118867,1711307455.0739822,0.9551148411119357,r,3.5803005695343018
gc-trial,411411,processing_2,1711307454.1276302,1711307455.0347269,0.9070963159902021,r,3.589063882827759
gc-trial,411419,processing_2,1711307454.1363802,1711307455.0913277,0.9549470340134576,r,3.597813844680786
gc-trial,411415,processing_2,1711307454.111057,1711307455.0317314,0.9206733889877796,r,3.572490692138672
gc-trial,411416,processing_2,1711307454.14685,1711307455.0588746,0.9120243999641389,r,3.608283758163452
gc-trial,411421,processing_chrom_parts,1711307456.171423,1711307458.1464477,1.9750301680760458,b,5.632856607437134
gc-trial,411425,processing_2,1711307459.6132274,1711307460.516648,0.9034203470218927,r,9.074661016464233
gc-trial,411426,processing_2,1711307459.6264784,1711307460.5452359,0.918757080915384,r,9.08791208267212
gc-trial,411410,processing_2,1711307459.646633,1711307460.569518,0.9228849339997396,r,9.10806655883789
gc-trial,411417,processing_2,1711307459.6121502,1711307460.5370395,0.9248890280723572,r,9.073583841323853
gc-trial,411414,processing_2,1711307459.6517637,1711307460.570916,0.9191522869514301,r,9.113197326660156
gc-trial,411424,processing_chrom_parts,1711307461.724049,1711307463.7094917,1.9854451010469347,b,11.185482740402222
gc-trial,411420,processing_2,1711307464.670373,1711307465.6289132,0.9585399669595063,r,14.13180661201477
gc-trial,411413,processing_2,1711307464.6260073,1711307465.5704067,0.9443987500853837,r,14.087440967559814
gc-trial,411442,processing_2,1711307464.6499968,1711307465.5822861,0.9322882470441982,r,14.111430406570435
gc-trial,411435,processing_2,1711307464.7026944,1711307465.6355152,0.932820211048238,r,14.164128065109253
gc-trial,411429,processing_2,1711307464.7272928,1711307465.6728575,0.945564380963333,r,14.188726425170898
gc-trial,411433,processing_chrom_parts,1711307466.5979755,1711307468.563228,1.9652560059912503,b,16.059409141540527
gc-trial,411427,processing_2,1711307469.6441474,1711307470.5611541,0.9170059150783345,r,19.105581045150757
gc-trial,411437,processing_2,1711307469.648624,1711307470.5409453,0.8923197699477896,r,19.110057592391968
gc-trial,411428,processing_2,1711307469.6534367,1711307470.5829804,0.9295435450039804,r,19.114870309829712
gc-trial,411439,processing_2,1711307469.6291678,1711307470.580573,0.9514043959788978,r,19.090601444244385
gc-trial,411441,processing_2,1711307469.717519,1711307470.6293135,0.9117923730518669,r,19.17895269393921
gc-trial,411444,processing_chrom_parts,1711307471.604477,1711307473.560586,1.9561114819953218,b,21.065910577774048
gc-trial,411451,processing_2,1711307474.6625533,1711307475.5369194,0.8743655040161684,r,24.123986959457397
gc-trial,411450,processing_2,1711307474.6688218,1711307475.578451,0.909628767054528,r,24.130255460739136
gc-trial,411446,processing_2,1711307474.6662765,1711307475.5597978,0.8935213189106435,r,24.127710103988647
gc-trial,411452,processing_2,1711307474.6609528,1711307475.5482757,0.8873222349211574,r,24.12238645553589
gc-trial,411449,processing_2,1711307474.6545374,1711307475.5670052,0.9124671960016713,r,24.115971088409424
gc-trial,411454,processing_chrom_parts,1711307476.6092286,1711307478.6648512,2.055626556975767,b,26.070662260055542
gc-trial,411458,processing_2,1711307480.0067697,1711307480.9297998,0.9230295569868758,r,29.46820330619812
gc-trial,411457,processing_2,1711307480.018316,1711307480.9430594,0.9247428119415417,r,29.47974967956543
gc-trial,411445,processing_2,1711307479.9983428,1711307480.9403317,0.9419891400029883,r,29.459776401519775
gc-trial,411456,processing_2,1711307480.0282245,1711307480.9715786,0.9433537479490042,r,29.48965811729431
gc-trial,411430,processing_2,1711307480.047627,1711307481.004231,0.9566036820178851,r,29.509060621261597
gc-trial,411408,processing_chrom_parts,1711307481.7924883,1711307483.723889,1.9314025240018964,b,31.25392198562622
gc-trial,411415,processing_2,1711307484.2870984,1711307485.2652102,0.9781110460171476,r,33.74853205680847
gc-trial,411411,processing_2,1711307484.2966802,1711307485.2926917,0.9960108889499679,r,33.758113861083984
gc-trial,411416,processing_2,1711307484.307414,1711307485.2913606,0.9839460010407493,r,33.768847703933716
gc-trial,411418,processing_2,1711307484.3076496,1711307485.3490767,1.0414262369740754,r,33.76908326148987
gc-trial,411419,processing_2,1711307484.317541,1711307485.311649,0.9941073340596631,r,33.778974533081055
gc-trial,411425,processing_chrom_parts,1711307486.2982316,1711307488.247699,1.9494698529597372,b,35.7596652507782
gc-trial,411417,processing_2,1711307489.1001065,1711307490.0712812,0.9711741489591077,r,38.56154012680054
gc-trial,411426,processing_2,1711307489.1200912,1711307490.0904007,0.9703088449314237,r,38.58152484893799
gc-trial,411410,processing_2,1711307489.120392,1711307490.068366,0.9479724370175973,r,38.581825733184814
gc-trial,411414,processing_2,1711307489.1302528,1711307490.0919797,0.9617259020451456,r,38.591686487197876
gc-trial,411424,processing_2,1711307489.1304164,1711307490.1081264,0.9777096270117909,r,38.59185004234314
gc-trial,411442,processing_chrom_parts,1711307491.2438216,1711307493.2636964,2.0198784479871392,b,40.70525527000427
gc-trial,411420,processing_2,1711307493.8180754,1711307494.9225783,1.1045021689496934,r,43.2795090675354
gc-trial,411435,processing_2,1711307493.8180976,1711307494.8520951,1.0339969519991428,r,43.27953124046326
gc-trial,411429,processing_2,1711307493.828039,1711307494.897735,1.069695477024652,r,43.289472579956055
gc-trial,411433,processing_2,1711307493.8383482,1711307494.8377147,0.9993656110018492,r,43.299781799316406
gc-trial,411437,processing_2,1711307493.838491,1711307494.914948,1.0764567920705304,r,43.29992461204529
