executor,connector,submission_method,task_chain_length,task_data_bytes,task_overhead_fraction,task_sleep,task_timestamps,workflow_makespan_ms
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1710185718.9682932-1710185718.9711075-1710185718.97112-1710185718.9861336-1710185719.9721348-1710185720.0049732-1710185720.0112598:1710185719.9705825-1710185719.972824-1710185719.9728398-1710185720.013434-1710185720.9738278-1710185720.9999402-1710185721.0150483:1710185720.9728754-1710185720.9767349-1710185720.9767454-1710185721.0117025-1710185721.9777377-1710185722.0036414-1710185722.0184915:1710185721.9749167-1710185721.977396-1710185721.9774055-1710185722.0171382-1710185722.9783847-1710185723.0093205-1710185723.0224245:1710185722.9771934-1710185722.9798734-1710185722.9798849-1710185723.0167024-1710185723.9808767-1710185724.0110145-1710185724.0262487:1710185723.9800384-1710185723.9824283-1710185723.9824386-1710185724.0195866-1710185724.9834175-1710185725.0098774-1710185725.0301838:1710185724.982475-1710185724.985029-1710185724.9850383-1710185725.0215874-1710185725.986029-1710185726.0119402-1710185726.0340075:1710185725.9845002-1710185725.9872952-1710185725.9873044-1710185726.023673-1710185726.9883528-1710185727.0148494-1710185727.0377402,8094.603648
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1710185727.0630805-1710185727.0656173-1710185727.0656316-1710185727.0786178-1710185728.0666568-1710185728.0970948-1710185728.1012123:1710185728.064855-1710185728.067303-1710185728.0673125-1710185728.1053183-1710185729.0682805-1710185729.0939953-1710185729.104719:1710185729.0675592-1710185729.06956-1710185729.0695705-1710185729.109258-1710185730.0705638-1710185730.1034691-1710185730.1099513:1710185730.0693634-1710185730.0717041-1710185730.0717142-1710185730.1121447-1710185731.0726936-1710185731.0985408-1710185731.1136043:1710185731.0714827-1710185731.0746202-1710185731.0746305-1710185731.110015-1710185732.0756278-1710185732.1060758-1710185732.1174307:1710185732.0737538-1710185732.0765924-1710185732.0766017-1710185732.113714-1710185733.0775702-1710185733.103245-1710185733.1209195:1710185733.075809-1710185733.078218-1710185733.0782282-1710185733.1153946-1710185734.0792234-1710185734.1096663-1710185734.1251817:1710185734.0777934-1710185734.0805802-1710185734.0805898-1710185734.1179116-1710185735.0815792-1710185735.1077514-1710185735.1290343,8090.896351
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1710185735.1546545-1710185735.1572933-1710185735.1573052-1710185735.1698604-1710185736.158325-1710185736.1887436-1710185736.1935387:1710185736.1566133-1710185736.158847-1710185736.1588588-1710185736.197175-1710185737.1598387-1710185737.1851919-1710185737.1972446:1710185737.1586492-1710185737.1611857-1710185737.1612005-1710185737.1980531-1710185738.1621964-1710185738.1879983-1710185738.20186:1710185738.160524-1710185738.163236-1710185738.1632452-1710185738.1999903-1710185739.1642387-1710185739.1969981-1710185739.2057173:1710185739.1624172-1710185739.1651418-1710185739.1651523-1710185739.2048945-1710185740.166144-1710185740.1988275-1710185740.2099664:1710185740.1642954-1710185740.1669946-1710185740.1670039-1710185740.2069104-1710185741.1679826-1710185741.1935186-1710185741.2135916:1710185741.1664953-1710185741.1692276-1710185741.1692407-1710185741.2058475-1710185742.1698477-1710185742.195609-1710185742.21727:1710185742.1687202-1710185742.1712768-1710185742.1712863-1710185742.2081368-1710185743.1722648-1710185743.1987083-1710185743.2205667,8091.016505
DaskExecutor,RedisConnector,pipelined,8,10000000,0.0,1.0,1710185743.2459722-1710185743.2481549-1710185743.2481678-1710185743.2607794-1710185744.2491884-1710185744.2793396-1710185744.2838914:1710185744.2479227-1710185744.2500558-1710185744.25007-1710185744.2875714-1710185745.2510602-1710185745.2772799-1710185745.287842:1710185745.2502096-1710185745.2535253-1710185745.253536-1710185745.2894604-1710185746.2545323-1710185746.2849538-1710185746.2930527:1710185746.252691-1710185746.2554696-1710185746.255479-1710185746.2938914-1710185747.2564695-1710185747.2863145-1710185747.296731:1710185747.254632-1710185747.2571285-1710185747.2571387-1710185747.2938795-1710185748.2581346-1710185748.2886531-1710185748.3001053:1710185748.256499-1710185748.2592983-1710185748.2593071-1710185748.2970543-1710185749.260295-1710185749.2856421-1710185749.3039:1710185749.258431-1710185749.2611158-1710185749.2611256-1710185749.3007746-1710185750.2621195-1710185750.287552-1710185750.3079853:1710185750.2603498-1710185750.2630167-1710185750.2630262-1710185750.3029757-1710185751.2640254-1710185751.289772-1710185751.3119,8090.906704
DaskExecutor,None,no-proxy,8,10000000,0.1,1.0,1710185751.4554226-1710185751.4830837-1710185751.5832193-1710185751.5832214-1710185752.4841676-1710185752.5052881-1710185752.5170677:1710185752.6411908-1710185752.6657684-1710185752.7659118-1710185752.7659156-1710185753.666855-1710185753.6878488-1710185753.6968775:1710185753.8185527-1710185753.8432114-1710185753.943354-1710185753.9433572-1710185754.8443036-1710185754.8655264-1710185754.8747559:1710185754.9969592-1710185755.0224192-1710185755.1225352-1710185755.1225374-1710185756.0233786-1710185756.0445147-1710185756.0540342:1710185756.17637-1710185756.2020247-1710185756.302174-1710185756.3021781-1710185757.203103-1710185757.2241497-1710185757.2334106:1710185757.3553996-1710185757.3803706-1710185757.480527-1710185757.4805307-1710185758.3814776-1710185758.4024968-1710185758.4121318:1710185758.534503-1710185758.559229-1710185758.6593645-1710185758.6593685-1710185759.5602942-1710185759.5814931-1710185759.5904417:1710185759.7129853-1710185759.7380447-1710185759.8381996-1710185759.8382034-1710185760.7392092-1710185760.7600436-1710185760.769334,9456.524972
DaskExecutor,None,no-proxy,8,10000000,0.1,1.0,1710185760.9141493-1710185760.9432898-1710185761.0434463-1710185761.04345-1710185761.944282-1710185761.9655066-1710185761.975863:1710185762.1002023-1710185762.1261575-1710185762.226308-1710185762.2263114-1710185763.1272645-1710185763.1478493-1710185763.157272:1710185763.2796092-1710185763.3051374-1710185763.4052725-1710185763.4052758-1710185764.3061843-1710185764.3271952-1710185764.3360634:1710185764.4599576-1710185764.4838183-1710185764.5839627-1710185764.583966-1710185765.484913-1710185765.5057814-1710185765.5174136:1710185765.6416423-1710185765.6655257-1710185765.7656736-1710185765.7656775-1710185766.6666243-1710185766.6878018-1710185766.696895:1710185766.8190327-1710185766.845314-1710185766.9454706-1710185766.9454744-1710185767.8464212-1710185767.8674667-1710185767.876493:1710185767.998985-1710185768.022823-1710185768.122959-1710185768.1229615-1710185769.0238836-1710185769.04517-1710185769.054365:1710185769.176981-1710185769.2006745-1710185769.3008313-1710185769.3008354-1710185770.2017715-1710185770.223127-1710185770.2459998,9475.629327
DaskExecutor,None,no-proxy,8,10000000,0.1,1.0,1710185770.3901694-1710185770.4150727-1710185770.515209-1710185770.5152116-1710185771.4161558-1710185771.4371936-1710185771.4495747:1710185771.5737426-1710185771.598081-1710185771.6982405-1710185771.6982443-1710185772.5991943-1710185772.6196256-1710185772.6283913:1710185772.751158-1710185772.7749064-1710185772.8750503-1710185772.8750536-1710185773.7759826-1710185773.7975655-1710185773.8059816:1710185773.9282424-1710185773.9508102-1710185774.050931-1710185774.0509334-1710185774.9518492-1710185774.9725199-1710185774.980622:1710185775.1110406-1710185775.1352262-1710185775.2353642-1710185775.2353663-1710185776.136485-1710185776.1577404-1710185776.1671612:1710185776.2914543-1710185776.3141932-1710185776.4143293-1710185776.4143326-1710185777.315232-1710185777.3356214-1710185777.344523:1710185777.466932-1710185777.4904149-1710185777.590547-1710185777.59055-1710185778.4914823-1710185778.5123858-1710185778.5220103:1710185778.644481-1710185778.6690838-1710185778.769226-1710185778.7692301-1710185779.6701686-1710185779.6910949-1710185779.6996903,9452.818025
DaskExecutor,None,no-proxy,8,10000000,0.1,1.0,1710185779.8432271-1710185779.8682687-1710185779.9684067-1710185779.96841-1710185780.8693626-1710185780.8905845-1710185780.902122:1710185781.0265174-1710185781.0513902-1710185781.151521-1710185781.1515234-1710185782.0524628-1710185782.072961-1710185782.0825796:1710185782.2053428-1710185782.2296576-1710185782.3298092-1710185782.3298125-1710185783.2307668-1710185783.2519462-1710185783.2607365:1710185783.3836086-1710185783.408097-1710185783.5082426-1710185783.508246-1710185784.409215-1710185784.4300137-1710185784.4390628:1710185784.5613527-1710185784.58561-1710185784.6857622-1710185784.6857653-1710185785.586629-1710185785.6075315-1710185785.617096:1710185785.7397947-1710185785.7643943-1710185785.8645384-1710185785.8645422-1710185786.7654846-1710185786.7864614-1710185786.7955837:1710185786.9179888-1710185786.9433825-1710185787.0435143-1710185787.0435164-1710185787.9443452-1710185787.9651403-1710185787.975148:1710185788.0976171-1710185788.1214347-1710185788.2215822-1710185788.2215855-1710185789.121834-1710185789.1427257-1710185789.1513145,9450.725032
DaskExecutor,None,no-proxy,8,10000000,0.1,1.0,1710185789.295504-1710185789.3210366-1710185789.4211702-1710185789.4211738-1710185790.321864-1710185790.343461-1710185790.3544798:1710185790.4802723-1710185790.5062704-1710185790.606416-1710185790.6064198-1710185791.5073252-1710185791.5283203-1710185791.5377553:1710185791.6617541-1710185791.684588-1710185791.7847338-1710185791.784737-1710185792.6856847-1710185792.7072523-1710185792.7159872:1710185792.8384075-1710185792.8616416-1710185792.9617884-1710185792.961792-1710185793.862738-1710185793.883792-1710185793.892981:1710185794.0150874-1710185794.0396044-1710185794.1397436-1710185794.1397467-1710185795.0406868-1710185795.0616305-1710185795.070486:1710185795.1928291-1710185795.216991-1710185795.3171303-1710185795.3171337-1710185796.2181802-1710185796.2390158-1710185796.2477322:1710185796.3699222-1710185796.394978-1710185796.4951339-1710185796.4951377-1710185797.3960855-1710185797.4170117-1710185797.4261467:1710185797.5482984-1710185797.573416-1710185797.6735532-1710185797.673557-1710185798.574473-1710185798.5952966-1710185798.6044767,9452.188548
DaskExecutor,RedisConnector,sequential,8,10000000,0.1,1.0,1710185798.629444-1710185798.63186-1710185798.7319982-1710185798.7453566-1710185799.6329184-1710185799.658534-1710185799.6627774:1710185799.663611-1710185799.665947-1710185799.7660923-1710185799.7797248-1710185800.6670337-1710185800.693593-1710185800.6980608:1710185800.6987238-1710185800.7008967-1710185800.8010511-1710185800.8140395-1710185801.7019734-1710185801.728321-1710185801.7323523:1710185801.732941-1710185801.7350605-1710185801.835204-1710185801.8479183-1710185802.7361372-1710185802.7627745-1710185802.7669737:1710185802.7676518-1710185802.769931-1710185802.8700688-1710185802.8827996-1710185803.770987-1710185803.7967083-1710185803.8011522:1710185803.8017602-1710185803.8040564-1710185803.9042027-1710185803.917624-1710185804.8051379-1710185804.8323736-1710185804.8365874:1710185804.8371453-1710185804.8393245-1710185804.9394789-1710185804.9528365-1710185805.8404188-1710185805.8665664-1710185805.8711586:1710185805.8717532-1710185805.8743227-1710185805.9744573-1710185805.9875903-1710185806.8753717-1710185806.9015913-1710185806.9056451,8308.432656
DaskExecutor,RedisConnector,sequential,8,10000000,0.1,1.0,1710185806.9385595-1710185806.9416819-1710185807.041836-1710185807.055382-1710185807.9427707-1710185807.9682596-1710185807.9738429:1710185807.9744735-1710185807.9767752-1710185808.0769231-1710185808.090161-1710185808.9778557-1710185809.0045004-1710185809.0083542:1710185809.0089176-1710185809.0133688-1710185809.1135259-1710185809.1286087-1710185810.0144405-1710185810.0403867-1710185810.044457:1710185810.0451202-1710185810.047217-1710185810.147343-1710185810.1631887-1710185811.0482733-1710185811.0746253-1710185811.0785363:1710185811.0792186-1710185811.0814137-1710185811.181577-1710185811.1949425-1710185812.0825086-1710185812.1089983-1710185812.1132147:1710185812.1137702-1710185812.1158836-1710185812.216036-1710185812.2294607-1710185813.1169572-1710185813.1440086-1710185813.147969:1710185813.148542-1710185813.1508007-1710185813.2509227-1710185813.2640316-1710185814.1517525-1710185814.177616-1710185814.1818411:1710185814.182423-1710185814.1845486-1710185814.2846975-1710185814.2986975-1710185815.1856308-1710185815.2135282-1710185815.2179115,8310.676959
