executor,connector,data_management,stage_task_counts,stage_bytes_sizes,stage_repeat,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,manual-proxy,32-1,100000000-10000000-1000000,8,5.0,1711661956.656296,1711662122.8092103,166.1529142856598
DaskExecutor,RedisConnector,manual-proxy,32-1,100000000-10000000-1000000,8,5.0,1711662122.8394132,1711662290.5294838,167.69007062911987
DaskExecutor,RedisConnector,manual-proxy,32-1,100000000-10000000-1000000,8,5.0,1711662290.563026,1711662459.2425723,168.67954635620117
