executor,connector,submission_method,task_chain_length,task_data_bytes,task_overhead_fraction,task_sleep,task_timestamps,workflow_makespan_ms
DaskExecutor,None,sequential-no-proxy,8,10000000,0.0,1.0,1710294343.5966613-1710294343.7811525-1710294343.781172-1710294343.781174-1710294344.782223-1710294344.803177-1710294344.8277633:1710294344.8277733-1710294344.974422-1710294344.9744418-1710294344.9744444-1710294345.9754725-1710294345.9968898-1710294346.0066752:1710294346.0066803-1710294346.153113-1710294346.1531248-1710294346.1531262-1710294347.1541717-1710294347.1755457-1710294347.1841161:1710294347.1841247-1710294347.3307111-1710294347.330727-1710294347.330729-1710294348.3317082-1710294348.353017-1710294348.3611968:1710294348.3612056-1710294348.5104284-1710294348.510444-1710294348.510446-1710294349.5113897-1710294349.5341463-1710294349.543815:1710294349.5438218-1710294349.6925876-1710294349.6925993-1710294349.6926007-1710294350.6936498-1710294350.7155812-1710294350.723636:1710294350.7236445-1710294350.8733647-1710294350.8733742-1710294350.8733754-1710294351.8744137-1710294351.8960643-1710294351.9044774:1710294351.9044857-1710294352.0526416-1710294352.0526512-1710294352.0526521-1710294353.0537033-1710294353.075422-1710294353.083485,9508.021529
DaskExecutor,None,sequential-no-proxy,8,10000000,0.0,1.0,1710294353.1049798-1710294353.2595124-1710294353.2595289-1710294353.2595308-1710294354.260562-1710294354.2828443-1710294354.2923439:1710294354.2923536-1710294354.441296-1710294354.441307-1710294354.4413092-1710294355.4422925-1710294355.464039-1710294355.472619:1710294355.4726279-1710294355.619584-1710294355.6195931-1710294355.619595-1710294356.620641-1710294356.6420417-1710294356.6507878:1710294356.6508021-1710294356.7974584-1710294356.797473-1710294356.7974744-1710294357.798523-1710294357.8203685-1710294357.8283608:1710294357.82837-1710294357.9751306-1710294357.9751422-1710294357.975144-1710294358.9761734-1710294358.9977772-1710294359.0070322:1710294359.007039-1710294359.1537988-1710294359.153808-1710294359.1538095-1710294360.1548588-1710294360.176673-1710294360.1851296:1710294360.185138-1710294360.3318741-1710294360.3318956-1710294360.331898-1710294361.332927-1710294361.3545115-1710294361.3632736:1710294361.3632798-1710294361.5098846-1710294361.5099008-1710294361.509903-1710294362.5108929-1710294362.5330772-1710294362.5420752,9455.343932
DaskExecutor,None,sequential-no-proxy,8,10000000,0.0,1.0,1710294362.562045-1710294362.7154999-1710294362.7155142-1710294362.7155163-1710294363.7165534-1710294363.7384522-1710294363.747805:1710294363.747812-1710294363.8947387-1710294363.8947525-1710294363.8947544-1710294364.8957422-1710294364.9173024-1710294364.9255092:1710294364.9255168-1710294365.0718482-1710294365.0718606-1710294365.0718617-1710294366.0728533-1710294366.094901-1710294366.1034799:1710294366.103486-1710294366.2493975-1710294366.249412-1710294366.2494137-1710294367.2504604-1710294367.2717206-1710294367.2797935:1710294367.2798016-1710294367.4282181-1710294367.4282267-1710294367.4282281-1710294368.4292552-1710294368.4509332-1710294368.4586508:1710294368.4586596-1710294368.6090407-1710294368.6090584-1710294368.60906-1710294369.610058-1710294369.6308727-1710294369.6387196:1710294369.638725-1710294369.7873816-1710294369.78739-1710294369.7873914-1710294370.7884314-1710294370.8105896-1710294370.8189461:1710294370.8189566-1710294370.966076-1710294370.9660907-1710294370.966093-1710294371.967138-1710294371.9882026-1710294371.9963152,9453.081764
DaskExecutor,None,sequential-no-proxy,8,10000000,0.0,1.0,1710294372.0164769-1710294372.1712332-1710294372.1712437-1710294372.1712453-1710294373.1713982-1710294373.1939595-1710294373.2033918:1710294373.203402-1710294373.3532672-1710294373.3532772-1710294373.3532789-1710294374.354318-1710294374.3755836-1710294374.3836336:1710294374.383642-1710294374.5310328-1710294374.531042-1710294374.5310435-1710294375.5320735-1710294375.5535593-1710294375.5617173:1710294375.5617254-1710294375.7086072-1710294375.7086155-1710294375.7086172-1710294376.7095425-1710294376.7309358-1710294376.7390857:1710294376.7390943-1710294376.8858504-1710294376.8858595-1710294376.8858612-1710294377.8869033-1710294377.908431-1710294377.917423:1710294377.9174323-1710294378.0651643-1710294378.0651727-1710294378.0651748-1710294379.066193-1710294379.0882096-1710294379.0962255:1710294379.0962348-1710294379.2421012-1710294379.2421107-1710294379.242112-1710294380.243128-1710294380.2648304-1710294380.273085:1710294380.2730942-1710294380.4208229-1710294380.420832-1710294380.4208336-1710294381.4218593-1710294381.4432077-1710294381.451342,9453.980625
DaskExecutor,None,sequential-no-proxy,8,10000000,0.0,1.0,1710294381.471765-1710294381.6265972-1710294381.6266072-1710294381.6266084-1710294382.6276572-1710294382.6495662-1710294382.6577795:1710294382.6577892-1710294382.808905-1710294382.808914-1710294382.8089159-1710294383.8099594-1710294383.8318598-1710294383.8395581:1710294383.839567-1710294383.986295-1710294383.9863057-1710294383.9863071-1710294384.9873252-1710294385.0084171-1710294385.0176144:1710294385.0176227-1710294385.164323-1710294385.1643317-1710294385.164333-1710294386.1653786-1710294386.1868067-1710294386.1957588:1710294386.195767-1710294386.3418849-1710294386.3418941-1710294386.3418963-1710294387.3429377-1710294387.3644395-1710294387.3733747:1710294387.3733838-1710294387.5209265-1710294387.520936-1710294387.5209374-1710294388.5219693-1710294388.5467794-1710294388.554887:1710294388.5548954-1710294388.7013156-1710294388.7013257-1710294388.7013268-1710294389.7023706-1710294389.724367-1710294389.7323878:1710294389.7323966-1710294389.8803346-1710294389.8803442-1710294389.8803456-1710294390.881372-1710294390.9026399-1710294390.9109468,9458.230556
DaskExecutor,RedisConnector,sequential-proxy,8,10000000,0.0,1.0,1710294390.9364483-1710294390.945288-1710294390.9453008-1710294390.9633062-1710294391.946329-1710294391.9758763-1710294391.9803789:1710294391.9803832-1710294391.9833071-1710294391.9833183-1710294392.0020092-1710294392.984354-1710294393.01409-1710294393.0200198:1710294393.0200236-1710294393.0235586-1710294393.0235856-1710294393.0366278-1710294394.0246472-1710294394.0513282-1710294394.0551975:1710294394.0552018-1710294394.0582764-1710294394.0582957-1710294394.0727687-1710294395.0593295-1710294395.0860374-1710294395.0902271:1710294395.0902317-1710294395.0934665-1710294395.093482-1710294395.1071005-1710294396.0946736-1710294396.1214473-1710294396.1261473:1710294396.126151-1710294396.1289792-1710294396.128991-1710294396.1430852-1710294397.130025-1710294397.156654-1710294397.1609223:1710294397.1609268-1710294397.1641262-1710294397.1641417-1710294397.1770654-1710294398.1651728-1710294398.191377-1710294398.1960073:1710294398.196011-1710294398.1987998-1710294398.1988125-1710294398.212876-1710294399.1994064-1710294399.2260928-1710294399.2304325,8327.058374
DaskExecutor,RedisConnector,sequential-proxy,8,10000000,0.0,1.0,1710294399.2630188-1710294399.2666106-1710294399.266624-1710294399.2800748-1710294400.2676573-1710294400.2940142-1710294400.2982883:1710294400.298294-1710294400.3013022-1710294400.3013148-1710294400.3150804-1710294401.3023505-1710294401.3291883-1710294401.3333356:1710294401.3333411-1710294401.3368022-1710294401.3368173-1710294401.3497431-1710294402.337851-1710294402.3642402-1710294402.3689651:1710294402.3689728-1710294402.3719442-1710294402.3719578-1710294402.3863544-1710294403.372998-1710294403.3994641-1710294403.4038258:1710294403.40383-1710294403.4068043-1710294403.4068253-1710294403.4195888-1710294404.4078605-1710294404.4337127-1710294404.4377453:1710294404.4377491-1710294404.440646-1710294404.4406586-1710294404.4543152-1710294405.4416912-1710294405.468141-1710294405.4725087:1710294405.4725125-1710294405.4754596-1710294405.47547-1710294405.491436-1710294406.4765031-1710294406.502629-1710294406.506962:1710294406.5069678-1710294406.5100672-1710294406.5100794-1710294406.528556-1710294407.5111098-1710294407.5382314-1710294407.5425942,8310.286475
DaskExecutor,RedisConnector,sequential-proxy,8,10000000,0.0,1.0,1710294407.5744781-1710294407.577757-1710294407.577783-1710294407.591358-1710294408.5788236-1710294408.6047027-1710294408.608692:1710294408.608701-1710294408.6116624-1710294408.6116738-1710294408.6259158-1710294409.6127179-1710294409.639034-1710294409.6433182:1710294409.643324-1710294409.646275-1710294409.6462882-1710294409.6594415-1710294410.647321-1710294410.6735482-1710294410.6779943:1710294410.6780002-1710294410.6809983-1710294410.6810102-1710294410.6953967-1710294411.6820438-1710294411.7082977-1710294411.712377:1710294411.712381-1710294411.715427-1710294411.715438-1710294411.7281213-1710294412.7164824-1710294412.7423832-1710294412.7470658:1710294412.747072-1710294412.749893-1710294412.7499065-1710294412.7649276-1710294413.7509458-1710294413.7775922-1710294413.7818751:1710294413.7818813-1710294413.7847917-1710294413.7848055-1710294413.7977111-1710294414.7858384-1710294414.8119142-1710294414.8163574:1710294414.8163612-1710294414.8191195-1710294414.8191307-1710294414.8334398-1710294415.8194501-1710294415.8464484-1710294415.8508615,8307.123209
DaskExecutor,RedisConnector,sequential-proxy,8,10000000,0.0,1.0,1710294415.8827035-1710294415.8860288-1710294415.8860435-1710294415.9020014-1710294416.8870742-1710294416.9134088-1710294416.917809:1710294416.9178143-1710294416.9208233-1710294416.9208386-1710294416.938245-1710294417.9218678-1710294417.9490275-1710294417.9531481:1710294417.953152-1710294417.9558783-1710294417.9558942-1710294417.9690409-1710294418.9569128-1710294418.9832017-1710294418.9872441:1710294418.9872484-1710294418.9902194-1710294418.990237-1710294419.005431-1710294419.9912682-1710294420.0182397-1710294420.0229537:1710294420.0229597-1710294420.0256283-1710294420.0256433-1710294420.0385041-1710294421.0266798-1710294421.052895-1710294421.0571089:1710294421.0571122-1710294421.0599947-1710294421.0600047-1710294421.0747383-1710294422.0610213-1710294422.0872254-1710294422.0911446:1710294422.0911484-1710294422.0942929-1710294422.0943055-1710294422.1071768-1710294423.0953379-1710294423.12132-1710294423.1252687:1710294423.1252725-1710294423.1282022-1710294423.1282175-1710294423.1427572-1710294424.1292384-1710294424.1552627-1710294424.1597195,8307.754367
DaskExecutor,RedisConnector,sequential-proxy,8,10000000,0.0,1.0,1710294424.191349-1710294424.1945786-1710294424.194602-1710294424.2088013-1710294425.1956372-1710294425.221726-1710294425.2261548:1710294425.2261586-1710294425.2289224-1710294425.2289395-1710294425.2430327-1710294426.229974-1710294426.2564347-1710294426.2605393:1710294426.2605433-1710294426.2634325-1710294426.2634487-1710294426.276026-1710294427.2644844-1710294427.290966-1710294427.2951844:1710294427.2951882-1710294427.2979946-1710294427.2980096-1710294427.3127086-1710294428.2982943-1710294428.3258386-1710294428.3298945:1710294428.3298986-1710294428.3327947-1710294428.332806-1710294428.3455923-1710294429.3332303-1710294429.3588445-1710294429.3630855:1710294429.3630896-1710294429.3660297-1710294429.3660436-1710294429.3813744-1710294430.367076-1710294430.3934922-1710294430.397847:1710294430.397851-1710294430.4007618-1710294430.4007764-1710294430.416246-1710294431.4018104-1710294431.427942-1710294431.4318087:1710294431.431813-1710294431.434664-1710294431.4346774-1710294431.4519753-1710294432.4357147-1710294432.4626496-1710294432.4674911,8306.885539
