executor,connector,stream,data_size_bytes,task_count,task_sleep,method,workers,completed_tasks,start_submit_tasks_timestamp,end_tasks_done_timestamp
ParslPoolExecutor,RedisConnector,redis,10000,1024,1.0,proxy,256,1024,1729355447.818923,1729355467.2513258
ParslPoolExecutor,RedisConnector,redis,10000,1024,1.0,default,256,1024,1729355467.276351,1729355472.3953867
ParslPoolExecutor,RedisConnector,redis,10000,1024,1.0,adios,256,1024,1729355473.6015885,1729355479.153374
ParslPoolExecutor,RedisConnector,redis,100000,1024,1.0,proxy,256,1024,1729355479.1748397,1729355484.306468
ParslPoolExecutor,RedisConnector,redis,100000,1024,1.0,default,256,1024,1729355484.3310428,1729355489.4627674
ParslPoolExecutor,RedisConnector,redis,100000,1024,1.0,adios,256,1024,1729355490.5884457,1729355496.1461945
ParslPoolExecutor,RedisConnector,redis,1000000,1024,1.0,proxy,256,1024,1729355496.1566021,1729355501.2955363
ParslPoolExecutor,RedisConnector,redis,1000000,1024,1.0,default,256,1024,1729355501.3198183,1729355512.423024
ParslPoolExecutor,RedisConnector,redis,1000000,1024,1.0,adios,256,1024,1729355513.4501061,1729355519.6807046
ParslPoolExecutor,RedisConnector,redis,10000000,1024,1.0,proxy,256,1024,1729355519.702612,1729355534.5634527
ParslPoolExecutor,RedisConnector,redis,10000000,1024,1.0,default,256,1024,1729355534.5881402,1729355626.0389254
ParslPoolExecutor,RedisConnector,redis,10000000,1024,1.0,adios,256,1024,1729355627.14223,1729355657.950214
ParslPoolExecutor,RedisConnector,redis,100000000,1024,1.0,proxy,256,1024,1729355657.9710538,1729355794.164831
ParslPoolExecutor,RedisConnector,redis,100000000,1024,1.0,default,256,1024,1729355794.1899602,1729356900.3210304
ParslPoolExecutor,RedisConnector,redis,100000000,1024,1.0,adios,256,1024,1729356900.4742553,1729357049.3407729
