executor,connector,data_management,stage_task_counts,stage_bytes_sizes,stage_repeat,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,default-proxy,32-1,100000000-10000000-1000000,8,5.0,1711594684.1331527,1711594849.6583135,165.52516078948975
DaskExecutor,RedisConnector,default-proxy,32-1,100000000-10000000-1000000,8,5.0,1711594850.3300426,1711595016.5360224,166.20597982406616
DaskExecutor,RedisConnector,default-proxy,32-1,100000000-10000000-1000000,8,5.0,1711595017.2146084,1711595182.5675397,165.35293126106262
