unix_timestamp,total_bytes,available_bytes,used_bytes,free_bytes
1709952306.567087,16320466944,14641926144,1405935616,14638485504
1709952306.5773222,16320466944,14622830592,1425031168,14619389952
1709952306.5875423,16320466944,14608896000,1438965760,14605455360
1709952306.5977182,16320466944,14608121856,1439739904,14604681216
1709952306.607875,16320466944,14594248704,1453613056,14590808064
1709952306.6180675,16320466944,14581665792,1466195968,14578225152
1709952306.628236,16320466944,14564888576,1482973184,14561447936
1709952306.6384058,16320466944,14552305664,1495556096,14548865024
1709952306.6485693,16320466944,14535528448,1512333312,14532087808
1709952306.6587226,16320466944,14522945536,1524916224,14519504896
1709952306.668881,16320466944,14505910272,1541951488,14502469632
1709952306.6790333,16320466944,14483648512,1564213248,14480207872
1709952306.6891859,16320466944,14458482688,1589379072,14455042048
1709952306.6993315,16320466944,14433058816,1614802944,14429618176
1709952306.7094877,16320466944,14407643136,1640218624,14404194304
1709952306.7196407,16320466944,14486794240,1561047040,14483345408
1709952306.729796,16320466944,14474211328,1573629952,14470762496
1709952306.7399468,16320466944,14452981760,1594859520,14449532928
1709952306.7500942,16320466944,14432010240,1615831040,14428561408
1709952306.76026,16320466944,14411038720,1636802560,14407589888
1709952306.7704072,16320466944,14498054144,1549787136,14494605312
1709952306.780557,16320466944,14468694016,1579147264,14465245184
1709952306.7906978,16320466944,14438817792,1609023488,14435368960
1709952306.8008382,16320466944,14409457664,1638383616,14406008832
1709952306.810983,16320466944,14365888512,1681952768,14362439680
1709952306.8211591,16320466944,14318116864,1729724416,14314668032
1709952306.8313322,16320466944,14399488000,1648353280,14396039168
1709952306.841492,16320466944,14376779776,1671061504,14373330944
1709952306.851633,16320466944,14354587648,1693253632,14351138816
1709952306.8617675,16320466944,14331879424,1715961856,14328430592
1709952306.871908,16320466944,14309171200,1738670080,14305722368
1709952306.8820546,16320466944,14273642496,1774198784,14270193664
1709952306.8922088,16320466944,14220935168,1826906112,14217486336
1709952306.9024076,16320466944,14252163072,1795678208,14248714240
1709952306.9126253,16320466944,14169632768,1878208512,14166183936
1709952306.9228184,16320466944,14187909120,1859932160,14184460288
1709952306.9330037,16320466944,14103764992,1944076288,14100316160
1709952306.9432046,16320466944,14227300352,1820540928,14223851520
1709952306.957983,16320466944,14168707072,1879134208,14165258240
1709952306.9681559,16320466944,14168707072,1879134208,14165258240
1709952306.9783304,16320466944,14168707072,1879134208,14165258240
1709952306.9884915,16320466944,14302924800,1744916480,14299475968
1709952306.9986281,16320466944,14302924800,1744916480,14299475968
1709952307.008769,16320466944,14302924800,1744916480,14299475968
1709952307.01891,16320466944,14302924800,1744916480,14299475968
1709952307.0290568,16320466944,14302924800,1744916480,14299475968
1709952307.039223,16320466944,14302924800,1744916480,14299475968
1709952307.0493736,16320466944,14302924800,1744916480,14299475968
1709952307.059529,16320466944,14302924800,1744916480,14299475968
1709952307.0696676,16320466944,14302924800,1744916480,14299475968
1709952307.0798116,16320466944,14302924800,1744916480,14299475968
1709952307.0899765,16320466944,14302924800,1744916480,14299475968
1709952307.1001387,16320466944,14302924800,1744916480,14299475968
1709952307.1102717,16320466944,14302924800,1744916480,14299475968
1709952307.1204123,16320466944,14302924800,1744916480,14299475968
1709952307.130547,16320466944,14302924800,1744916480,14299475968
1709952307.1406841,16320466944,14302924800,1744916480,14299475968
1709952307.1508152,16320466944,14302924800,1744916480,14299475968
1709952307.160967,16320466944,14302924800,1744916480,14299475968
1709952307.1711028,16320466944,14302924800,1744916480,14299475968
1709952307.181237,16320466944,14302924800,1744916480,14299475968
1709952307.1913912,16320466944,14302924800,1744916480,14299475968
1709952307.2015736,16320466944,14302924800,1744916480,14299475968
