executor,connector,data_management,stage_task_counts,stage_bytes_sizes,task_sleep,workflow_start_timestamp,workflow_end_timestamp,workflow_makespan_s
DaskExecutor,RedisConnector,default-proxy,1-8-1-8-1-8-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710027659.6568108,1710027696.2949133,36.638102531433105
DaskExecutor,RedisConnector,default-proxy,1-8-1-8-1-8-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710027696.3240705,1710027732.8403769,36.51630640029907
DaskExecutor,RedisConnector,default-proxy,1-8-1-8-1-8-1,1000000-100000000-10000000-100000000-10000000-100000000-10000000-1000000,5.0,1710027732.8642905,1710027769.2974465,36.43315601348877
